1284,KOI-351 f,KOI-351 g,KOI-351 h,1.6860106,1.5744994,0.0,0.0,0.0,124.9144,210.607,331.6006
1315,Kepler-102 b,Kepler-102 c,Kepler-102 d,1.3375071,1.4582261,4.3015,3.0012,3.815,5.287,7.0714,10.3117
1315,Kepler-102 c,Kepler-102 d,Kepler-102 e,1.4582261,1.5657651,3.0012,3.815,8.9018,7.0714,10.3117,16.1457
1370,Kepler-107 b,Kepler-107 c,Kepler-107 d,1.5413522,1.6236662,3.5098,9.3914,3.8023,3.18,4.9015,7.9584
1448,Kepler-114 b,Kepler-114 c,Kepler-114 d,1.5497735,1.4644945,6.9942,2.8613,3.815,5.1885,8.041,11.776
1713,Kepler-138 b,Kepler-138 c,Kepler-138 d,1.3363555,1.6753209,0.0668,1.9711,0.639,10.3126,13.7813,23.0881
1894,Kepler-1542 c,Kepler-1542 b,Kepler-1542 e,1.3661573,1.2910508,0.0,0.0,0.0,2.8922,3.9512,5.1012
2052,Kepler-169 c,Kepler-169 d,Kepler-169 e,1.3474457,1.6491297,0.0,0.0,0.0,6.1955,8.3481,13.7671
2096,Kepler-197 c,Kepler-197 d,Kepler-197 e,1.5147879,1.6080076,5.4046,0.0,0.0,10.3497,15.6776,25.2097
2108,Kepler-208 c,Kepler-208 d,Kepler-208 e,1.4908794,1.4606353,0.0,0.0,0.0,7.4666,11.1318,16.2595
2118,Kepler-217 d,Kepler-217 b,Kepler-217 c,1.3828244,1.5974251,0.0,0.0,0.0,3.8869,5.3749,8.586
2125,Kepler-223 b,Kepler-223 c,Kepler-223 d,1.3332792,1.5020618,7.4012,5.1026,8.002,7.3845,9.8456,14.7887
2125,Kepler-223 c,Kepler-223 d,Kepler-223 e,1.5020618,1.333836,5.1026,8.002,4.8006,9.8456,14.7887,19.7257
2128,Kepler-226 b,Kepler-226 c,Kepler-226 d,1.357422,1.5158143,0.0,0.0,0.0,3.941,5.3496,8.109
2178,Kepler-271 d,Kepler-271 c,Kepler-271 b,1.4116807,1.4081286,0.0,0.0,0.0,5.2497,7.4109,10.4355
2242,Kepler-33 c,Kepler-33 d,Kepler-33 e,1.6527521,1.4596069,0.0,0.0,0.0,13.1756,21.776,31.7844
2242,Kepler-33 d,Kepler-33 e,Kepler-33 f,1.4596069,1.2908534,0.0,0.0,0.0,21.776,31.7844,41.029
2252,Kepler-339 b,Kepler-339 c,Kepler-339 d,1.4038813,1.5108971,0.0,0.0,0.0,4.9777,6.9881,10.5583
2265,Kepler-350 b,Kepler-350 c,Kepler-350 d,1.5951419,1.4642837,0.0,6.0405,14.9422,11.1896,17.849,26.136
2317,Kepler-398 b,Kepler-398 d,Kepler-398 c,1.6745234,1.6708709,0.0,0.0,0.0,4.0814,6.8344,11.4194
2323,Kepler-402 b,Kepler-402 c,Kepler-402 d,1.5202542,1.4565537,0.0,0.0,0.0,4.0288,6.1248,8.9211
2323,Kepler-402 c,Kepler-402 d,Kepler-402 e,1.4565537,1.2602594,0.0,0.0,0.0,6.1248,8.9211,11.2429
2353,Kepler-431 b,Kepler-431 c,Kepler-431 d,1.2792885,1.3698725,0.0,0.0,0.0,6.803,8.703,11.922
2367,Kepler-444 b,Kepler-444 c,Kepler-444 d,1.2627149,1.3615346,0.0,0.0,0.0,3.6001,4.5459,6.1894
2367,Kepler-444 c,Kepler-444 d,Kepler-444 e,1.3615346,1.2510906,0.0,0.0,0.0,4.5459,6.1894,7.7435
2367,Kepler-444 d,Kepler-444 e,Kepler-444 f,1.2510906,1.2578937,0.0,0.0,0.0,6.1894,7.7435,9.7405
2368,Kepler-445 b,Kepler-445 c,Kepler-445 d,1.6323303,1.6736533,6.3584,8.5838,3.4971,2.9842,4.8712,8.1527
2537,Kepler-60 b,Kepler-60 c,Kepler-60 d,1.2502734,1.3340621,4.1902,3.85,4.1616,7.1334,8.9187,11.8981
2708,Kepler-758 e,Kepler-758 b,Kepler-758 d,1.4779642,1.692577,0.0,0.0,0.0,8.1935,12.1097,20.4966
2755,Kepler-80 d,Kepler-80 e,Kepler-80 b,1.5119133,1.5183319,6.7526,4.1298,6.9307,3.0722,4.6449,7.0525
2755,Kepler-80 e,Kepler-80 b,Kepler-80 c,1.5183319,1.3503864,4.1298,6.9307,6.7431,4.6449,7.0525,9.5236
2755,Kepler-80 b,Kepler-80 c,Kepler-80 g,1.3503864,1.5378218,6.9307,6.7431,0.0,7.0525,9.5236,14.6456
2810,Kepler-85 b,Kepler-85 c,Kepler-85 d,1.5065013,1.4315672,14.7833,18.7573,0.0,8.306,12.513,17.9132
2810,Kepler-85 c,Kepler-85 d,Kepler-85 e,1.4315672,1.4077217,18.7573,0.0,0.0,12.513,17.9132,25.2168
3236,TOI-178 d,TOI-178 e,TOI-178 f,1.5191149,1.5290155,3.0107,3.8595,7.7223,6.5577,9.9619,15.2319
3236,TOI-178 e,TOI-178 f,TOI-178 g,1.5290155,1.3596137,3.8595,7.7223,3.9422,9.9619,15.2319,20.7095
3275,TRAPPIST-1 b,TRAPPIST-1 c,TRAPPIST-1 d,1.6028857,1.6721447,0.8584,1.3798,0.4133,1.5109,2.4218,4.0496
3275,TRAPPIST-1 c,TRAPPIST-1 d,TRAPPIST-1 e,1.6721447,1.5062228,1.3798,0.4133,0.6358,2.4218,4.0496,6.0996
3275,TRAPPIST-1 d,TRAPPIST-1 e,TRAPPIST-1 f,1.5062228,1.5093941,0.4133,0.6358,0.6676,4.0496,6.0996,9.2067
3275,TRAPPIST-1 e,TRAPPIST-1 f,TRAPPIST-1 g,1.5093941,1.3417294,0.6358,0.6676,1.3416,6.0996,9.2067,12.3529
3275,TRAPPIST-1 f,TRAPPIST-1 g,TRAPPIST-1 h,1.3417294,1.619053,0.6676,1.3416,0.331,9.2067,12.3529,20.0
3512,YZ Cet b,YZ Cet c,YZ Cet d,1.5141274,1.5217164,0.6994,1.1413,1.0905,2.0209,3.0599,4.6563
