# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
Kepler-1228 b,,,,,,,0.137,0.012,0.01,0.57736958,4.1E-07,4.1E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1228,547,,,-0.18,0.248,0.179,0.78,0.06,0.05,0.74,0.07,0.05,5.13,-3.23,5.96,5063,81.19,94.76
Kepler-1229 b,,,,,,,0.125,0.012,0.01,86.828989,0.001069,0.001069,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1229,236,,,-0.06,0.109,0.086,0.54,0.04,0.03,0.51,0.03,0.03,3.72,-2.07,5.32,3784,38.61,38.88
Kepler-123 b,,,,,,,0.262,0.051,0.051,17.232366,5.6E-05,5.6E-05,0.135,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-123,1052.14,23.21,23.21,-0.199,,,1.03,,,1.26,0.24,0.24,,,,6089,121,121
Kepler-123 c,,,,,,,0.132,0.027,0.027,26.695074,0.000468,0.000468,0.181,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-123,1052.14,23.21,23.21,-0.199,,,1.03,,,1.26,0.24,0.24,,,,6089,121,121
Kepler-1230 b,,,,,,,0.242,0.026,0.044,9.95661537,4.469E-05,4.469E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1230,1433,,,0.01,0.153,0.143,1.06,0.06,0.08,1.08,0.1,0.19,3.47,-1.8,2,5961,116.25,134.01
Kepler-1231 b,,,,,,,0.127,0.011,0.027,10.41725184,6.556E-05,6.556E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1231,948,,,0.06,0.152,0.151,1.01,0.05,0.06,1,0.08,0.2,4.17,-2.47,3.03,5778,107.4,80.33
Kepler-1232 b,,,,,,,0.172,0.014,0.021,26.7839183,0.0001786,0.0001786,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1232,740,,,0.06,0.154,0.147,0.92,0.04,0.04,0.89,0.05,0.11,4.79,-3.05,6.23,5471,111.9,75.31
Kepler-1233 b,,,,,,,0.232,0.035,0.096,45.1263042,0.0005171,0.0005171,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1233,1281,,,0.02,0.161,0.128,1.16,0.1,0.18,1.25,0.18,0.52,2.88,-1.1,1.14,6198,168.47,139.13
Kepler-1234 b,,,,,,,0.251,0.072,0.014,11.94014029,8.335E-05,8.335E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1234,866,,,0.01,0.158,0.143,0.8,0.04,0.03,0.76,0.03,0.03,4.37,-2.57,5.75,4967,63.05,56.4
Kepler-1235 b,,,,,,,0.07,0.005,0.011,4.16055856,2.789E-05,2.789E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1235,533,,,0.01,0.173,0.145,0.93,0.05,0.04,0.9,0.06,0.12,4.57,-2.88,5.5,5541,83.29,78.94
Kepler-1236 b,,,,,,,0.191,0.02,0.016,31.0571618,0.0002508,0.0002508,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1236,1078,,,-0.09,0.174,0.154,0.86,0.05,0.05,0.82,0.05,0.07,4.07,-2.43,5.41,5337,154.2,155.96
Kepler-1237 b,,,,,,,0.255,0.019,0.035,84.5733226,0.000648,0.000648,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1237,1121,,,0.12,0.158,0.159,0.94,0.04,0.04,0.9,0.06,0.12,4.57,-2.87,5.71,5472,109.1,73.56
Kepler-1238 b,,,,,,,0.172,0.037,0.076,4.14787559,3.447E-05,3.447E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1238,1533,,,0.05,0.144,0.13,1.3,0.18,0.24,1.48,0.32,0.65,2.14,-0.649,1.2,6386,299.46,341.26
Kepler-1239 b,,,,,,,0.259,0.028,0.033,5.19104016,2.643E-05,2.643E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1239,2511,,,0.22,0.172,0.129,1.4,0.09,0.08,1.57,0.16,0.2,1.62,-0.42,0.632,6564,198.42,153.47
Kepler-124 b,,,,,,,0.065,0.004,0.004,3.410493,2.1E-05,2.1E-05,0.039,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-124,425.19,3.08,3.08,-0.535,,,,,,0.64,0.03,0.03,,,,4984,100,100
Kepler-124 c,,,,,,,0.156,0.008,0.008,13.821375,3.7E-05,3.7E-05,0.1,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-124,425.19,3.08,3.08,-0.535,,,,,,0.64,0.03,0.03,,,,4984,100,100
Kepler-124 d,,,,,,,0.099,0.006,0.006,30.950851,0.000361,0.000361,0.17,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-124,425.19,3.08,3.08,-0.535,,,,,,0.64,0.03,0.03,,,,4984,100,100
Kepler-1240 b,,,,,,,0.103,0.009,0.018,4.8663815,2.513E-05,2.513E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1240,614,,,0.04,0.159,0.138,0.98,0.05,0.05,0.96,0.08,0.16,4.07,-2.3,4.54,5682,116.7,103.27
Kepler-1241 b,,,,,,,0.235,0.021,0.019,18.5525701,0.0001035,0.0001035,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1241,936,,,-0.09,0.185,0.153,0.84,0.06,0.05,0.8,0.05,0.06,4.68,-2.9,6.11,5261,119.79,180.72
Kepler-1242 b,,,,,,,0.202,0.012,0.012,13.62798432,5.714E-05,5.714E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1242,682,,,-0.05,0.169,0.129,0.77,0.04,0.04,0.74,0.04,0.03,5.62,-3.22,5.24,4895,57.56,84.63
Kepler-1243 b,,,,,,,0.156,0.015,0.025,16.8320729,8.923E-05,8.923E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1243,877,,,0.01,0.168,0.135,0.96,0.06,0.05,0.94,0.07,0.15,4.37,-2.62,4.13,5667,139.83,113.87
Kepler-1244 b,,,,,,,0.12,0.022,0.056,3.70428172,1.784E-05,1.784E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1244,764,,,0.05,0.165,0.143,1.46,0.14,0.26,1.77,0.33,0.83,1.7,-0.359,0.42,6680,106.27,94.5
Kepler-1245 b,,,,,,,0.128,0.009,0.011,4.35409304,1.933E-05,1.933E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1245,861,,,-0.01,0.16,0.143,0.86,0.04,0.04,0.83,0.05,0.06,4.57,-2.81,6.27,5306,101.98,77.49
Kepler-1245 c,,,,,,,0.128,0.007,0.012,2.93658468,8.4E-06,8.4E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1245,861,,,-0.01,0.16,0.143,0.86,0.04,0.04,0.83,0.05,0.06,4.57,-2.81,6.27,5306,101.98,77.49
Kepler-1246 b,,,,,,,0.121,0.02,0.018,11.32271513,8.852E-05,8.852E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1246,435,,,-0.03,0.163,0.158,0.73,0.04,0.03,0.69,0.04,0.02,3.89,-2.1,6.02,4611,51.31,49.69
Kepler-1247 b,,,,,,,0.208,0.014,0.019,13.71220213,6.363E-05,6.363E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1247,1094,,,-0.05,0.156,0.141,0.86,0.05,0.04,0.82,0.05,0.06,4.68,-2.94,6.65,5303,112.59,116.55
Kepler-1248 b,,,,,,,0.105,0.01,0.018,7.46725407,5.302E-05,5.302E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1248,540,,,0.24,0.077,0.075,1.21,0.04,0.04,1.21,0.05,0.06,1.51,-0.371,0.705,6149,74.3,83.25
Kepler-1249 b,,,,,,,0.212,0.034,0.087,24.3347127,0.0002886,0.0002886,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1249,1674,,,0.06,0.153,0.131,1.19,0.12,0.17,1.28,0.2,0.52,2.82,-1.11,1.08,6202,201.72,133.62
Kepler-125 b,,,,,,,0.211,0.009,0.009,4.164389,3E-06,3E-06,0.041,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-125,184.34,0.99,0.99,0.126,,,0.55,,,0.51,0.02,0.02,,,,3810,150,150
Kepler-125 c,,,,,,,0.066,0.004,0.004,5.774464,4.7E-05,4.7E-05,0.051,,,,,,,,,2014,,,,,,,,,,,Primary Transit,Kepler-125,184.34,0.99,0.99,0.126,,,0.55,,,0.51,0.02,0.02,,,,3810,150,150
Kepler-1250 b,,,,,,,0.171,0.015,0.04,2.60754383,6.52E-06,6.52E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1250,1371,,,0.04,0.178,0.139,0.99,0.05,0.05,0.98,0.08,0.22,4.57,-2.8,4.06,5717,82.51,71.36
Kepler-1251 b,,,,,,,0.164,0.012,0.023,45.0904643,0.000463,0.000463,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1251,863,,,-0.04,0.177,0.148,0.92,0.06,0.05,0.89,0.06,0.12,4.79,-3.06,5.71,5545,95.15,85.54
Kepler-1252 b,,,,,,,0.149,0.021,0.037,15.0540329,0.0001248,0.0001248,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1252,828,,,0.03,0.161,0.137,1.06,0.09,0.09,1.09,0.14,0.27,3.89,-2.12,2.36,5949,218.38,144.6
Kepler-1253 b,,,,,,,0.119,0.016,0.016,68.8861915,0.000527,0.000527,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1253,390,,,-0.14,0.145,0.147,0.97,0.06,0.06,1.1,0.13,0.15,7.08,-2.82,1.8,5850,56.44,65.89
Kepler-1254 b,,,,,,,0.138,0.011,0.008,9.99113313,5.61E-05,5.61E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1254,676,,,-0.1,0.203,0.149,0.78,0.05,0.04,0.75,0.05,0.03,5.62,-3.3,5.65,4985,45.04,53
Kepler-1254 c,,,,,,,0.116,0.011,0.006,3.60084276,1.9E-05,1.9E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1254,676,,,-0.1,0.203,0.149,0.78,0.05,0.04,0.75,0.05,0.03,5.62,-3.3,5.65,4985,45.04,53
Kepler-1254 d,,,,,,,0.117,0.01,0.008,5.72717226,2.908E-05,2.908E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1254,676,,,-0.1,0.203,0.149,0.78,0.05,0.04,0.75,0.05,0.03,5.62,-3.3,5.65,4985,45.04,53
Kepler-1255 b,,,,,,,0.207,0.026,0.057,36.2919336,0.0003156,0.0003156,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1255,1344,,,0.02,0.161,0.133,1.08,0.09,0.1,1.12,0.14,0.31,3.55,-1.76,2.01,6018,186.81,134.73
Kepler-1256 b,,,,,,,0.133,0.02,0.039,12.4127754,0.000108,0.000108,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1256,862,,,0.05,0.077,0.092,1.17,0.06,0.09,1.36,0.19,0.27,3.72,-1.03,0.91,6129,69.29,67.94
Kepler-1257 b,,,,,,,0.136,0.011,0.016,2.66831376,9.86E-06,9.86E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1257,1081,,,-0.09,0.177,0.147,0.9,0.05,0.06,0.87,0.07,0.1,4.37,-2.73,5.36,5502,93.92,168.32
Kepler-1258 b,,,,,,,0.077,0.007,0.012,0.98494017,3.18E-06,3.18E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1258,651,,,-0.07,0.182,0.145,0.99,0.06,0.05,0.99,0.08,0.15,3.89,-2.17,3.11,5839,73.45,79.16
Kepler-1259 b,,,,,,,0.128,0.009,0.006,0.66308526,8.7E-07,8.7E-07,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1259,704,,,-0.07,0.169,0.144,0.8,0.05,0.04,0.77,0.04,0.04,5.25,-3.1,6,5053,67.62,113.64
Kepler-126 b,,,,,,,0.136,0.009,0.009,10.495711,2.8E-05,2.8E-05,0.099,,,0.07,0.07,0.1,,,,2014,,,,,,,,,,,Primary Transit,Kepler-126,239.03,1.67,1.67,,,,,,,1.36,0.02,0.02,,,,6239,94,94
Kepler-126 c,,,,,,,0.141,0.012,0.012,21.869741,8.2E-05,8.2E-05,0.162,,,0.19,0.19,0.18,,,,2014,,,,,,,,,,,Primary Transit,Kepler-126,239.03,1.67,1.67,,,,,,,1.36,0.02,0.02,,,,6239,94,94
Kepler-126 d,,,,,,,0.223,0.004,0.004,100.283134,0.000255,0.000255,0.448,,,0.02,0.02,0.09,,,,2014,,,,,,,,,,,Primary Transit,Kepler-126,239.03,1.67,1.67,,,,,,,1.36,0.02,0.02,,,,6239,94,94
Kepler-1260 b,,,,,,,0.158,0.025,0.045,19.1187753,0.0001687,0.0001687,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1260,1041,,,0.01,0.183,0.136,1.06,0.08,0.09,1.08,0.14,0.3,3.8,-1.98,2.21,5961,192.48,131.56
Kepler-1261 b,,,,,,,0.202,0.012,0.012,48.4308991,0.0003144,0.0003144,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1261,795,,,0.03,0.16,0.15,0.82,0.04,0.03,0.77,0.03,0.03,4.47,-2.63,5.91,5006,44.49,48.34
Kepler-1262 b,,,,,,,0.162,0.015,0.029,8.67900242,3.79E-05,3.79E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1262,1153,,,-0.02,0.182,0.139,0.99,0.06,0.06,0.98,0.09,0.17,4.27,-2.52,3.55,5771,103.42,101.71
Kepler-1263 b,,,,,,,0.102,0.011,0.025,4.55139967,2.128E-05,2.128E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1263,695,,,-0.03,0.17,0.157,0.84,0.04,0.04,0.8,0.05,0.05,4.9,-2.98,6.27,5213,74.37,61.9
Kepler-1264 b,,,,,,,0.105,0.011,0.02,0.96852602,2.33E-06,2.33E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1264,814,,,-0.02,0.18,0.139,0.99,0.06,0.06,0.98,0.09,0.18,4.17,-2.5,3.04,5791,145.15,109.18
Kepler-1265 b,,,,,,,0.12,0.012,0.006,6.49441289,2.951E-05,2.951E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1265,581,,,-0.1,0.204,0.155,0.71,0.05,0.04,0.69,0.05,0.03,5.25,-3.08,5.57,4630,41.2,42.63
Kepler-1266 b,,,,,,,0.23,0.041,0.012,28.474748,0.0002045,0.0002045,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1266,901,,,-0.07,0.183,0.154,0.8,0.05,0.04,0.76,0.05,0.04,5.13,-3.17,6.07,5044,50.99,49.22
Kepler-1267 b,,,,,,,0.269,0.04,0.085,13.0313945,0.0001104,0.0001104,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1267,1628,,,0.07,0.139,0.15,1.15,0.11,0.11,1.2,0.17,0.37,3.24,-1.51,1.4,6096,215.9,119.67
Kepler-1268 b,,,,,,,0.181,0.021,0.06,40.9903986,0.0004806,0.0004806,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1268,1406,,,0.05,0.166,0.14,1.06,0.06,0.08,1.09,0.12,0.36,4.27,-2.43,2.22,5904,79.21,68.91
Kepler-1269 b,,,,,,,0.145,0.016,0.041,37.3331536,0.000321,0.000321,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1269,710,,,0.07,0.145,0.138,1.1,0.06,0.09,1.15,0.12,0.32,3.55,-1.8,1.68,5998,88.22,88.2
Kepler-127 b,,,,,,,0.125,0.004,0.004,14.435889,6.3E-05,6.3E-05,0.125,,,0.47,0.39,0.06,,,,2014,,,,,,,,,,,Primary Transit,Kepler-127,356.41,2.71,2.71,-0.154,,,,,,1.36,0.04,0.04,,,,6106,106,106
Kepler-127 c,,,,,,,0.237,0.012,0.012,29.393195,7.3E-05,7.3E-05,0.2,,,0.03,0.03,0.14,,,,2014,,,,,,,,,,,Primary Transit,Kepler-127,356.41,2.71,2.71,-0.154,,,,,,1.36,0.04,0.04,,,,6106,106,106
Kepler-127 d,,,,,,,0.236,0.012,0.012,48.630408,0.000128,0.000128,0.28,,,0.03,0.03,0.28,,,,2014,,,,,,,,,,,Primary Transit,Kepler-127,356.41,2.71,2.71,-0.154,,,,,,1.36,0.04,0.04,,,,6106,106,106
Kepler-1270 b,,,,,,,0.296,0.058,0.027,6.03356196,6.551E-05,6.551E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1270,1204,,,-0.02,0.02,0.111,1.28,0.11,0.01,3.38,0.41,0.3,4.37,-0.12,2.14,5047,34.17,40.17
Kepler-1271 b,,,,,,,0.132,0.014,0.021,3.0255955,1.16E-05,1.16E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1271,885,,,-0.01,0.094,0.08,1.13,0.06,0.06,1.23,0.13,0.18,3.63,-1.51,1.06,6143,88.49,81.37
Kepler-1272 b,,,,,,,0.211,0.029,0.062,51.1309704,0.0004514,0.0004514,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1272,896,,,0.06,0.16,0.142,1.06,0.07,0.08,1.09,0.11,0.27,3.89,-2.1,2.26,5926,135.18,95.26
Kepler-1273 b,,,,,,,0.222,0.017,0.029,28.625653,0.0002174,0.0002174,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1273,1355,,,0.03,0.157,0.132,0.94,0.05,0.04,0.91,0.06,0.12,4.47,-2.73,5.37,5566,71.25,77.45
Kepler-1274 b,,,,,,,0.127,0.009,0.009,6.98152703,6.708E-05,6.708E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1274,609,,,0.11,0.071,0.084,1.45,0.05,0.06,2.17,0.12,0.13,2.88,-0.31,0.3,6179,48.15,54.41
Kepler-1275 b,,,,,,,0.132,0.024,0.058,3.65691115,1.583E-05,1.583E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1275,1280,,,0.04,0.16,0.131,1.23,0.13,0.21,1.36,0.23,0.6,2.51,-0.829,1.08,6296,214.87,202.94
Kepler-1276 b,,,,,,,0.106,0.01,0.018,12.5720095,0.0001098,0.0001098,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1276,587,,,-0.02,0.096,0.084,1.14,0.05,0.05,1.21,0.1,0.14,3.09,-1.3,1,6188,55.24,65.25
Kepler-1277 b,,,,,,,0.143,0.01,0.026,40.8365012,0.0004586,0.0004586,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1277,606,,,-0.01,0.111,0.105,0.94,0.04,0.04,0.92,0.05,0.06,5.01,-3,3.56,5578,68.73,82.21
Kepler-1278 b,,,,,,,0.09,0.011,0.028,3.23941344,1.696E-05,1.696E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1278,743,,,0.02,0.161,0.134,1.11,0.08,0.11,1.16,0.13,0.35,3.31,-1.52,1.45,6074,128.32,112.24
Kepler-1279 b,,,,,,,0.156,0.024,0.079,23.4774101,0.0002445,0.0002445,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1279,1017,,,0.06,0.141,0.134,1.21,0.1,0.19,1.33,0.19,0.62,2.82,-1.1,0.804,6221,110.44,97.8
Kepler-128 b,0.00242,0.00079,0.00151,,,,0.128,0.008,0.008,15.09,,,,,,,,,,,,2013,,,,,,,,,,,Primary Transit,Kepler-128,400.93,3.97,3.97,-0.048,,,1.09,0.05,0.08,1.61,0.07,0.1,,,,6013,,
Kepler-128 c,0.00283,0.00091,0.00182,,,,0.12,0.007,0.007,22.804,,,,,,,,,,,,2013,,,,,,,,,,,Primary Transit,Kepler-128,400.93,3.97,3.97,-0.048,,,1.09,0.05,0.08,1.61,0.07,0.1,,,,6013,,
Kepler-1280 b,,,,,,,0.167,0.026,0.074,66.5579057,0.0007705,0.0007705,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1280,1006,,,0.04,0.153,0.135,1.2,0.11,0.18,1.32,0.2,0.59,2.82,-1.06,1.02,6227,156.51,121.69
Kepler-1281 b,,,,,,,0.146,0.012,0.012,3.11602791,1.3E-05,1.3E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1281,1090,,,-0.04,0.175,0.169,0.87,0.05,0.04,0.83,0.05,0.06,4.37,-2.67,5.89,5353,93.58,86.5
Kepler-1282 b,,,,,,,0.138,0.01,0.019,2.13194651,6.87E-06,6.87E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1282,1126,,,0.01,0.168,0.137,0.92,0.04,0.04,0.89,0.06,0.11,4.57,-2.89,6.12,5504,78.7,81.08
Kepler-1283 b,,,,,,,0.17,0.028,0.07,12.9460978,0.0002185,0.0002185,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1283,1452,,,0.04,0.159,0.128,1.16,0.11,0.18,1.25,0.2,0.51,2.88,-1.12,1.57,6175,233.53,183.18
Kepler-1284 b,,,,,,,0.108,0.006,0.009,0.66407381,1.48E-06,1.48E-06,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1284,852,,,0.03,0.175,0.17,0.84,0.04,0.04,0.79,0.04,0.05,4.47,-2.68,6.03,5123,83.53,62.8
Kepler-1285 b,,,,,,,0.087,0.007,0.009,14.7967458,0.0001134,0.0001134,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1285,364,,,0.16,0.088,0.089,1.2,0.04,0.05,1.28,0.09,0.12,2.75,-1.06,0.868,6170,62.49,67.21
Kepler-1286 b,,,,,,,0.192,0.016,0.04,11.25402929,6.812E-05,6.812E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1286,1150,,,0.03,0.155,0.138,1,0.05,0.05,0.98,0.07,0.2,4.17,-2.46,3.54,5753,79.2,74.56
Kepler-1287 b,,,,,,,0.137,0.012,0.02,11.47685909,6.466E-05,6.466E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1287,1027,,,-0.05,0.183,0.147,0.96,0.06,0.05,0.94,0.07,0.13,4.07,-2.39,3.92,5715,83.95,93.97
Kepler-1288 b,,,,,,,0.1,0.014,0.042,2.76122421,1.477E-05,1.477E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1288,715,,,0.14,0.143,0.157,1.2,0.08,0.16,1.29,0.17,0.54,2.88,-1.23,1.02,6132,135.79,87.95
Kepler-1289 b,,,,,,,0.136,0.021,0.044,7.99019627,5.083E-05,5.083E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1289,1059,,,0.02,0.153,0.134,1.1,0.1,0.17,1.17,0.18,0.37,2.95,-1.24,1.92,6080,268.17,245.65
Kepler-129 b,,,,,,,0.211,0.019,0.019,15.79186,6.8E-05,6.8E-05,0.131,,,0.01,0.01,0.24,,,,2014,,,,,,,,,,,Primary Transit,Kepler-129,413.68,4.42,4.42,,,,1.18,,,1.64,0.05,0.05,,,,5770,83,83
Kepler-129 c,,,,,,,0.227,0.009,0.009,82.20017,0.00068,0.00068,0.393,,,0.2,0.2,0.15,,,,2014,,,,,,,,,,,Primary Transit,Kepler-129,413.68,4.42,4.42,,,,1.18,,,1.64,0.05,0.05,,,,5770,83,83
Kepler-1290 b,,,,,,,0.127,0.012,0.019,4.69500134,4.206E-05,4.206E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1290,1321,,,-0.02,0.174,0.131,0.95,0.05,0.05,0.93,0.07,0.13,4.07,-2.33,4.4,5660,108.37,114.11
Kepler-1291 b,,,,,,,0.148,0.016,0.009,8.63043276,6.731E-05,6.731E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1291,982,,,-0.04,0.169,0.142,0.84,0.05,0.04,0.8,0.05,0.05,4.9,-3.09,6.22,5216,108.14,81.36
Kepler-1292 b,,,,,,,0.162,0.012,0.026,3.27646405,1.548E-05,1.548E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1292,1406,,,0.08,0.158,0.166,0.95,0.04,0.04,0.93,0.06,0.14,4.68,-2.96,5.3,5556,77.3,63
Kepler-1293 b,,,,,,,0.087,0.013,0.037,5.57654784,4.024E-05,4.024E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1293,770,,,0,0.19,0.12,1.18,0.1,0.18,1.28,0.18,0.55,2.82,-1.1,0.931,6241,99.8,114.93
Kepler-1294 b,,,,,,,0.285,0.028,0.048,115.6862258,0.0008445,0.0008445,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1294,1120,,,-0.03,0.18,0.14,0.99,0.06,0.07,0.97,0.09,0.16,3.98,-2.31,3.15,5776,137.2,152.5
Kepler-1295 b,,,,,,,0.138,0.011,0.018,3.81371974,2.278E-05,2.278E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1295,1257,,,0.04,0.157,0.142,0.92,0.04,0.04,0.89,0.06,0.1,4.68,-2.94,5.72,5486,100.36,70.55
Kepler-1296 b,,,,,,,0.081,0.005,0.008,8.3839865,8.648E-05,8.648E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1296,631,,,-0.04,0.164,0.158,0.87,0.05,0.04,0.83,0.05,0.07,4.17,-2.55,6.04,5359,120.32,98.28
Kepler-1297 b,,,,,,,0.087,0.008,0.014,1.68189002,1.032E-05,1.032E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1297,996,,,-0.04,0.189,0.156,0.99,0.06,0.06,0.99,0.09,0.16,4.17,-2.41,3.1,5818,92.17,83.49
Kepler-1298 b,,,,,,,0.117,0.021,0.021,7.12811928,4.863E-05,4.863E-05,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1298,498,,,0.13,0.082,0.09,1.45,0.11,0.12,2,0.35,0.34,2.57,-0.4,0.35,6339,65.86,64.06
Kepler-1299 b,,,,,,,0.266,0.037,0.059,19.9400874,0.0001457,0.0001457,,,,,,,,,,2016,,,,,,,,,,,Primary Transit,Kepler-1299,1352,,,-0.01,0.174,0.139,0.94,0.06,0.04,0.91,0.06,0.13,4.37,-2.66,4.88,5609,129.75,92.88
Kepler-130 b,,,,,,,0.091,0.004,0.004,8.457458,3.9E-05,3.9E-05,0.079,,,0.15,0.15,0.14,,,,2014,,,,,,,,,,,Primary Transit,Kepler-130,319.57,2.36,2.36,0.02,0.46,0.46,1,0.09,0.09,1.13,0.03,0.03,,,,5884,75,75
