# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
HD 157172 b,,,,0.12,,,,,,104.84,,,0.416,,,0.46,,,,,,2011,,,,,,,,,,,Radial Velocity,HD 157172,31.9,0.9,0.9,,,,,,,,,,,,,,,
HD 158038 b,,,,1.8,0.2,0.2,,,,521,6.9,6.9,1.52,0.04,0.04,0.291,0.093,0.093,,,,2011,334,10,10,2455491,20,20,,,,,Radial Velocity,HD 158038,103.6,7.9,7.9,0.28,0.03,0.03,1.65,0.12,0.12,4.8,0.1,0.1,2.5,0.3,0.3,4897,44,44
HD 158259 b,0.0085,,,,,,0.107,,,2.178,,,,,,,,,,,,2020,,,,,,,,,,,Primary Transit,HD 158259,27.08,0.01,0.01,,,,1.08,0.1,0.1,1.21,0.08,0.03,,,,,,
HD 158259 c,,,,0.0173,0.0019,0.0019,,,,3.432037,0.0002,0.0002,,,,,,,,,,2019,,,,,,,,,,,Radial Velocity,HD 158259,27.08,0.01,0.01,,,,1.08,0.1,0.1,1.21,0.08,0.03,,,,,,
HD 158259 d,,,,0.0167,0.0022,0.0022,,,,5.198,,,,,,,,,,,,2019,,,,,,,,,,,Radial Velocity,HD 158259,27.08,0.01,0.01,,,,1.08,0.1,0.1,1.21,0.08,0.03,,,,,,
HD 158259 e,,,,0.0182,0.003,0.003,,,,7.954,,,,,,,,,,,,2019,,,,,,,,,,,Radial Velocity,HD 158259,27.08,0.01,0.01,,,,1.08,0.1,0.1,1.21,0.08,0.03,,,,,,
HD 158259 f,,,,0.0201,0.0041,0.0041,,,,12.03,,,,,,,,,,,,2019,,,,,,,,,,,Radial Velocity,HD 158259,27.08,0.01,0.01,,,,1.08,0.1,0.1,1.21,0.08,0.03,,,,,,
HD 158996 b,,,,14,2.3,2.3,,,,820.2,14,14,2.1,0.2,0.2,0.13,0.05,0.05,,,,2018,168,12,12,2454993,128,128,,,,,Radial Velocity,HD 158996,294.1,,,-0.2,0.1,0.1,1.8,0.3,0.3,50.3,4.3,4.3,1.6,0.6,0.6,4069,30,30
HD 159243 b,,,,1.13,0.05,0.05,,,,12.62,0.004,0.004,0.11,0.002,0.002,0.02,0.018,0.018,,,,2013,223,93,93,2456426.11,0.21,0.21,,,,,Radial Velocity,HD 159243,69.2,5.5,5.5,0.05,0.04,0.04,1.125,0.03,0.03,,,,1.25,1.1,1.1,6123,65,65
HD 159243 c,,,,1.9,0.13,0.13,,,,248.4,4.9,4.9,0.8,0.02,0.02,0.075,0.05,0.05,,,,2013,69,97,97,2456484,11,11,,,,,Radial Velocity,HD 159243,69.2,5.5,5.5,0.05,0.04,0.04,1.125,0.03,0.03,,,,1.25,1.1,1.1,6123,65,65
HD 159868 b,,,,2.218,0.0591,0.0591,1.202,,,1184.1,7.1,7.1,2.32,0.14,0.14,0.024,0.019,0.019,,,,2007,63,76,76,2453670,19,19,,,,,Radial Velocity,HD 159868,52.7,,,0,,,1.19,,,2.13,,,8.1,,,5534,,
HD 159868 c,,,,0.768,0.044,0.044,1.269,,,351,1.1,1.1,1.032,0.064,0.064,0.184,0.037,0.037,,,,2012,272,16,16,2453225,13,13,,,,,Radial Velocity,HD 159868,52.7,,,0,,,1.19,,,2.13,,,8.1,,,5534,,
HD 1605 b,,,,0.96,0.04,0.06,,,,577.9,4.9,5.6,1.48,0.01,0.02,0.078,0.035,0.082,,,,2015,26,43,37,2453443.3,67.3,58.9,,,,,Radial Velocity,HD 1605,84.6,,,0.21,0.05,0.05,1.31,0.11,0.11,3.8,0.4,0.4,4.59,1.37,1.37,4757,50,50
HD 1605 c,,,,3.48,0.11,0.13,,,,2111,32,42,3.52,0.05,0.05,0.098,0.022,0.032,,,,2015,240,17,17,2454758.3,110,105.1,,,,,Radial Velocity,HD 1605,84.6,,,0.21,0.05,0.05,1.31,0.11,0.11,3.8,0.4,0.4,4.59,1.37,1.37,4757,50,50
HD 160508 b,,,,48,3,3,,,,178.9049,0.0074,0.0074,0.68,0.02,0.02,0.5967,0.0009,0.0009,,,,2016,191.17,0.13,0.13,2455998.7,0.03,0.03,,,,,Radial Velocity,HD 160508,92.3,,,0.01,0.02,0.02,1.25,0.08,0.08,,,,,,,6212,30,30
HD 16141 A b,,,,0.215,0.03,0.03,,,,75.82,0.4,0.4,0.35,,,0.28,0.15,0.15,,,,2000,41,22,22,2451547.2,4.1,4.1,,,,,Radial Velocity,HD 16141 A,35.9,,,0.02,,,1.01,,,1,,,7.76,,,5533,,
HD 16175 b,,,,4.77,0.37,0.37,,,,995.4,2.8,2.8,2.148,0.076,0.076,0.637,0.02,0.02,,,,2007,221.5,2.2,2.2,2455801.4,2.6,2.6,,,,,Radial Velocity,HD 16175,59.8,,,0.37,0.03,0.03,1.35,0.09,0.09,1.87,0.04,0.04,5.3,1,1,6022,34,34
HD 162004 b,,,,1.53,0.1,0.1,,,,3117,42,42,4.43,0.04,0.04,0.4,0.05,0.05,,,,2015,64,9,9,2449344,76,76,,,,,Radial Velocity,HD 162004,22.16,,,0.01,0.06,0.06,1.19,0.07,0.07,,,,3.3,1.3,1.3,6212,75,75
HD 162020 b,,,,14.4,,,,,,8.428198,5.6E-05,5.6E-05,0.074,,,0.277,0.002,0.002,,,,2002,332.672,0.002,0.002,51990.677,0.005,0.005,,,,,Radial Velocity,HD 162020,31.26,,,0.01,0.11,0.11,0.75,,,0.71,,,0.76,,,4830,80,80
HD 163296 b,0.3,,,,,,,,,,,,105,,,,,,,,,2016,,,,,,,,,,,Default,HD 163296,122,3,17,,,,2.3,,,,,,0.005,,,,,
HD 163296 c,0.3,,,,,,,,,,,,160,,,,,,,,,2016,,,,,,,,,,,Default,HD 163296,122,3,17,,,,2.3,,,,,,0.005,,,,,
HD 163607 b,,,,0.7836,0.0098,0.0098,1.269,,,75.2203,0.02,0.02,0.362,0.016,0.016,0.7441,0.0071,0.0071,,,,2011,79.6,1.3,1.3,2454185.93,0.15,0.15,,,,,Radial Velocity,HD 163607,69,3,3,0.21,0.03,0.03,1.12,0.02,0.02,1.76,0.7,0.7,8.6,6,6,5522,44,44
HD 163607 c,,,,2.201,0.037,0.037,1.202,,,1272,4.4,4.4,2.39,0.11,0.11,0.08,0.014,0.014,,,,2011,274,12,12,2455111,40,40,,,,,Radial Velocity,HD 163607,69,3,3,0.21,0.03,0.03,1.12,0.02,0.02,1.76,0.7,0.7,8.6,6,6,5522,44,44
HD 164428 b,,,,5.7,1.3,1.3,,,,599.6,8.7,8.7,1.6,0.1,0.1,0.29,0.22,0.22,,,,2018,203.11,26.59,26.59,2455068,46,46,,,,,Radial Velocity,HD 164428,274,22,22,-0.07,0.1,0.1,1.5,0.2,0.2,35.4,2.9,2.9,2.7,1.2,1.2,4119,40,40
HD 164509 b,,,,0.48,0.09,0.09,,,,282.4,3.8,3.8,0.875,0.008,0.008,0.26,0.14,0.14,,,,2011,324,110,110,2455703,30,30,,,,,Radial Velocity,HD 164509,52,3,3,0.21,0.03,0.03,1.13,0.02,0.02,1.06,0.03,0.03,1.1,1,1,5922,44,44
HD 164595 b,,,,0.0516,0.00856,0.00856,,,,40,0.24,0.24,0.23,,,0.088,0.066,0.12,,,,2015,145,110,160,2456280,12,12,,,,,Radial Velocity,HD 164595,28.93,0.4,0.4,-0.04,0.08,0.08,0.99,0.03,0.03,,,,,,,5790,40,40
HD 164604 b,,,,1.998,0.2589,0.2589,,,,641.47,10.13,10.13,1.331,0.0029,0.0029,0.35,0.1,0.1,,,,2010,65.4,15.1,15.1,2452674,80,80,,,,,Radial Velocity,HD 164604,39.4,0.06,0.06,-0.18,,,0.77,0.04,0.04,,,,,,,4684,35,135
HD 164922 b,,,,0.365,0.038,0.031,,,,1207,5,4,2.16,0.03,0.03,0.08,0.06,0.06,,,,2006,114,0.2,0.24,2457978,26,20,,,,,Radial Velocity,HD 164922,22.13,0.27,0.27,0.16,0.05,0.05,0.874,0.012,0.012,0.999,0.017,0.017,13.4,,,5293,32,32
HD 164922 c,,,,0.041,0.006,0.009,,,,75.74,0.06,0.06,0.341,0.004,0.004,0.12,0.09,0.11,,,,2016,330,76,108,2457564.7,3.2,2.7,,,,,Radial Velocity,HD 164922,22.13,0.27,0.27,0.16,0.05,0.05,0.874,0.012,0.012,0.999,0.017,0.017,13.4,,,5293,32,32
HD 164922 d,,,,0.0001041,9.8E-06,9.8E-06,,,,12.458,0.003,0.003,0.12292,0.0027,0.0027,0.086,0.06,0.083,,,,2020,311,76,130,2457503.9,0.8,0.4,,,,,Radial Velocity,HD 164922,22.13,0.27,0.27,0.16,0.05,0.05,0.874,0.012,0.012,0.999,0.017,0.017,13.4,,,5293,32,32
HD 164922 e,,,,0.0331,0.00311,0.00311,,,,41.763,0.012,0.012,0.2292,0.0027,0.0027,0.086,0.06,0.083,,,,2021,343,50,74,,,,,,,,Radial Velocity,HD 164922,22.13,0.27,0.27,0.16,0.05,0.05,0.874,0.012,0.012,0.999,0.017,0.017,13.4,,,5293,32,32
HD 165155 b,,,,2.89,0.23,0.23,,,,434.5,2.1,2.1,1.13,0.04,0.04,0.2,0.03,0.03,,,,2016,211,11,11,,,,,,,,Radial Velocity,HD 165155,64.98,7.26,7.26,0.09,0.1,0.1,1.02,0.05,0.05,0.95,0.11,0.11,11,4,4,5426,100,100
HD 1666 b,,,,6.43,0.22,0.31,,,,270,0.9,0.8,0.94,0.02,0.02,0.63,0.03,0.03,,,,2015,295,0.5,5.2,2453526.3,5.3,7.3,,,,,Radial Velocity,HD 1666,110.6,,,0.37,0.04,0.04,1.5,0.07,0.07,1.93,0.49,0.49,1.76,0.2,0.2,6317,44,44
